index,pubid,question,gold_label,prediction,raw_answer,response_status,is_valid,is_correct,used_tools,search_count,reranker_model,reranker_candidate_pmids,reranker_ranked_pmids,reranker_scores,reranker_selected_pmid,reranker_selected_score,reranker_selected_tool,gold_pmid_in_reranker_candidates,gold_pmid_selected
1,21645374,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,yes,yes,completed,TRUE,TRUE,vector_search,1,cross-encoder/ms-marco-MiniLM-L6-v2,"["21645374", "18222909", "23899611", "12790890", "26037986", "14518645", "18667100", "19931500", "11838307", "27554179"]","["21645374", "18222909", "12790890", "19931500", "23899611", "18667100", "26037986", "27554179", "14518645", "11838307"]","[6.136921, -8.868738, -9.398506, -11.220421, -11.236794, -11.254759, -11.257013, -11.308568, -11.323322, -11.324524]",21645374,6.136921,vector_search,TRUE,TRUE
2,16418930,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,no,no,completed,TRUE,TRUE,"pubmed_search,vector_search",2,cross-encoder/ms-marco-MiniLM-L6-v2,"["16418930", "26686513", "27757987", "10966943", "10877371", "18269157", "22227642", "19054501", "25103647", "26113007"]","["16418930", "27757987", "10966943", "18269157", "10877371", "19054501", "26686513", "22227642", "26113007", "25103647"]","[6.522385, -3.842777, -5.649866, -9.634228, -10.757421, -10.959032, -11.092954, -11.104164, -11.312405, -11.375669]",16418930,6.522385,vector_search,TRUE,TRUE
3,9488747,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,yes,yes,completed,TRUE,TRUE,vector_search,1,cross-encoder/ms-marco-MiniLM-L6-v2,"["9488747", "20971618", "23539689", "25406780", "19822586", "11601252", "20530150", "16498158", "19409117", "25501465"]","["9488747", "19822586", "25501465", "20971618", "16498158", "11601252", "23539689", "25406780", "20530150", "19409117"]","[1.410927, -9.148554, -9.858196, -10.408644, -10.412897, -10.453794, -10.885697, -11.055059, -11.142887, -11.260596]",9488747,1.410927,vector_search,TRUE,TRUE
4,17208539,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,no,no,completed,TRUE,TRUE,"pubmed_search,vector_search",2,cross-encoder/ms-marco-MiniLM-L6-v2,"["39215407", "36692536", "35505310", "33082946", "28643301", "21695592", "20620323", "19361638", "17336196", "17208539", "24061619", "15954832", "22534881", "18568239", "10401824", "24476003", "24748473", "10922093", "19302863"]","["17208539", "36692536", "21695592", "20620323", "35505310", "19361638", "17336196", "33082946", "39215407", "28643301", "15954832", "18568239", "24476003", "24061619", "10401824", "22534881", "10922093", "24748473", "19302863"]","[8.501008, 6.186473, 6.011561, 5.744073, 5.123199, 4.786746, 3.973773, 2.831724, 1.518534, -2.571182, -6.485186, -8.444642, -10.267441, -10.396082, -10.498062, -10.624342, -10.871394, -10.886522, -11.098692]",17208539,8.501008,pubmed_search,TRUE,TRUE
5,10808977,Can tailored interventions increase mammography use among HMO women?,yes,yes,yes,completed,TRUE,TRUE,vector_search,1,cross-encoder/ms-marco-MiniLM-L6-v2,"["10808977", "10575390", "22564465", "26859535", "26471488", "25155638", "25957366", "17096624", "22011946", "24374414"]","["10808977", "25957366", "26471488", "26859535", "10575390", "24374414", "22011946", "22564465", "25155638", "17096624"]","[1.382098, -7.127608, -7.965528, -10.526567, -10.906578, -11.006715, -11.018978, -11.19162, -11.259093, -11.389494]",10808977,1.382098,vector_search,TRUE,TRUE
6,23831910,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes,maybe,maybe,completed,TRUE,FALSE,vector_search,1,cross-encoder/ms-marco-MiniLM-L6-v2,"["17593459", "25251991", "23831910", "14627582", "19925761", "21848798", "19913785", "17192736", "20850631", "12848629"]","["25251991", "17593459", "17192736", "21848798", "19925761", "14627582", "12848629", "23831910", "19913785", "20850631"]","[-0.505416, -1.518858, -4.927069, -7.870124, -8.439573, -10.057971, -10.810242, -10.973377, -11.149773, -11.206438]",25251991,-0.505416,vector_search,TRUE,FALSE
7,26037986,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,yes,yes,completed,TRUE,FALSE,vector_search,1,cross-encoder/ms-marco-MiniLM-L6-v2,"["26037986", "10732884", "16968183", "21276532", "26460153", "12098035", "25982163", "11146778", "7860319", "22758782"]","["26037986", "7860319", "16968183", "10732884", "21276532", "12098035", "11146778", "22758782", "26460153", "25982163"]","[5.819944, -3.283489, -4.870578, -5.412596, -5.64254, -5.682533, -6.608588, -8.82295, -9.082921, -9.137482]",26037986,5.819944,vector_search,TRUE,TRUE
8,26852225,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,yes,yes,completed,TRUE,FALSE,vector_search,1,cross-encoder/ms-marco-MiniLM-L6-v2,"["26852225", "24235894", "14992556", "17453263", "26518378", "27643961", "15052394", "24747511", "10223070", "25503376"]","["26852225", "24235894", "25503376", "27643961", "15052394", "10223070", "24747511", "26518378", "14992556", "17453263"]","[6.375145, -8.385923, -9.39213, -9.67794, -10.070755, -10.964801, -11.090639, -11.113322, -11.201275, -11.280267]",26852225,6.375145,vector_search,TRUE,TRUE
9,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,no,no,completed,TRUE,TRUE,vector_search,1,cross-encoder/ms-marco-MiniLM-L6-v2,"["17113061", "25150098", "16319544", "24449622", "15939071", "22532370", "28056802", "22720085", "8521557", "21420186"]","["17113061", "16319544", "25150098", "15939071", "28056802", "22532370", "8521557", "21420186", "24449622", "22720085"]","[4.787125, -0.539804, -1.70063, -2.74751, -5.503429, -7.497242, -8.34205, -9.293749, -9.344218, -10.884139]",17113061,4.787125,vector_search,TRUE,TRUE
10,10966337,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes,yes,yes,completed,TRUE,TRUE,vector_search,1,cross-encoder/ms-marco-MiniLM-L6-v2,"["10966337", "23848044", "26701174", "7664228", "17610439", "12970636", "25986020", "24098953", "24074624", "9142039"]","["10966337", "26701174", "7664228", "24074624", "9142039", "12970636", "24098953", "25986020", "23848044", "17610439"]","[5.479514, -8.578401, -9.264828, -9.508057, -9.904999, -10.099535, -10.170969, -10.561817, -10.888288, -11.078347]",10966337,5.479514,vector_search,TRUE,TRUE
